CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
CA-512,Daly/San Mateo County CoC,,2024,271,454,0,725,1299,1363,170,138,0,308,1055,661,101,316,417,244,192,32,95,127,65,897,40,0,40,857,721,35,0,35,686,176,5,5,171,225,86,8,0,94,131,2014
CA-512,Daly/San Mateo County CoC,,1995,240,456,0,696,1299,1374,177,142,0,319,1055,621,63,314,377,244,180,22,93,115,65,889,32,0,32,857,715,29,0,29,686,174,3,3,171,245,,,,114,131,2013
CA-512,Daly/San Mateo County CoC,,1845,156,527,0,683,1162,1274,91,154,0,245,1029,571,65,373,438,133,160,21,102,123,37,496,20,0,20,476,496,20,0,20,476,0,0,0,0,173,,,,26,147,2012
CA-513,"Visalia/Kings, Tulare Counties CoC",,763,161,225,0,386,377,609,90,167,0,257,352,154,71,58,129,25,51,23,19,42,9,235,28,0,28,207,208,23,0,23,185,27,5,5,22,36,2,7,0,9,27,2014
CA-513,"Visalia/Kings, Tulare Counties CoC",,705,182,227,0,409,296,547,117,142,0,259,288,158,65,85,150,8,47,21,24,45,2,187,11,0,11,176,143,11,0,11,132,44,0,0,44,43,,,,14,29,2013
CA-513,"Visalia/Kings, Tulare Counties CoC",,771,147,269,0,416,355,566,76,170,0,246,320,205,71,99,170,35,62,24,28,52,10,201,21,0,21,180,178,20,0,20,158,23,1,1,22,40,,,,8,32,2012
CA-514,Fresno City & County/Madera County CoC,,2592,297,389,23,709,1883,2203,160,147,23,330,1873,389,137,242,379,10,119,42,72,114,5,497,9,13,22,475,497,9,13,22,475,0,0,0,0,272,50,35,0,85,187,2014
CA-514,Fresno City & County/Madera County CoC,,3131,184,388,22,594,2537,2421,117,147,22,286,2135,710,67,241,308,402,302,24,77,101,201,793,34,10,44,749,363,32,10,42,321,430,2,2,428,338,,,,81,257,2013
CA-514,Fresno City & County/Madera County CoC,,4492,141,506,23,670,3822,3554,59,248,23,330,3224,938,82,258,340,598,366,24,89,113,253,824,18,19,37,787,651,18,19,37,614,173,0,0,173,606,,,,64,542,2012
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",,762,166,73,0,239,523,619,113,28,0,141,478,143,53,45,98,45,48,15,17,32,16,240,57,0,57,183,211,44,0,44,167,29,13,13,16,73,12,1,0,13,60,2014
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",,908,196,189,0,385,523,689,130,81,0,211,478,219,66,108,174,45,77,20,41,61,16,222,39,0,39,183,202,35,0,35,167,20,4,4,16,92,,,,32,60,2013
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",,742,172,215,0,387,355,508,91,100,0,191,317,234,81,115,196,38,75,24,38,62,13,168,46,0,46,122,107,31,0,31,76,61,15,15,46,59,,,,22,37,2012
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",,630,201,347,0,548,82,461,143,241,0,384,77,169,58,106,164,5,63,20,41,61,2,125,67,0,67,58,89,36,0,36,53,36,31,31,5,62,25,35,0,60,2,2014
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",,851,260,244,0,504,347,631,178,183,0,361,270,220,82,61,143,77,60,16,28,44,16,199,87,0,87,112,125,54,0,54,71,74,33,33,41,203,,,,117,86,2013
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",,524,250,92,0,342,182,384,161,71,0,232,152,140,89,21,110,30,49,26,8,34,15,180,92,0,92,88,79,40,0,40,39,101,52,52,49,67,,,,38,29,2012
CA-517,Napa City & County CoC,,285,135,59,0,194,91,205,102,12,0,114,91,80,33,47,80,0,29,11,18,29,0,73,31,0,31,42,73,31,0,31,42,0,0,0,0,23,9,0,0,9,14,2014
CA-517,Napa City & County CoC,,245,119,58,0,177,68,168,84,16,0,100,68,77,35,42,77,0,26,11,15,26,0,81,46,0,46,35,64,37,0,37,27,17,9,9,8,19,,,,9,10,2013
CA-517,Napa City & County CoC,,248,109,47,0,156,92,184,87,14,0,101,83,64,22,33,55,9,26,9,13,22,4,85,51,0,51,34,84,50,0,50,34,1,1,1,0,14,,,,5,9,2012
CA-518,Vallejo/Solano County CoC,,1295,178,228,0,406,889,1085,103,145,0,248,837,210,75,83,158,52,65,20,24,44,21,350,45,0,45,305,226,37,0,37,189,124,8,8,116,80,9,38,0,47,33,2014
CA-518,Vallejo/Solano County CoC,,1329,193,247,0,440,889,1163,139,187,0,326,837,166,54,60,114,52,70,21,28,49,21,414,109,0,109,305,291,102,0,102,189,123,7,7,116,88,,,,55,33,2013
CA-518,Vallejo/Solano County CoC,,622,154,233,0,387,235,383,58,139,0,197,186,239,96,94,190,49,93,30,42,72,21,64,64,0,64,0,50,50,0,50,0,14,14,14,0,28,,,,14,14,2012
CA-519,"Chico, Paradise/Butte County CoC",,696,171,102,0,273,423,586,139,34,0,173,413,110,32,68,100,10,35,10,21,31,4,313,49,0,49,264,307,43,0,43,264,6,6,6,0,95,27,13,0,40,55,2014
CA-519,"Chico, Paradise/Butte County CoC",,712,179,110,0,289,423,599,150,36,0,186,413,113,29,74,103,10,34,9,21,30,4,312,48,0,48,264,312,48,0,48,264,0,0,0,0,101,,,,46,55,2013
CA-519,"Chico, Paradise/Butte County CoC",,897,195,162,0,357,540,760,161,86,0,247,513,137,34,76,110,27,46,12,24,36,10,268,31,0,31,237,263,27,0,27,236,5,4,4,1,102,,,,32,70,2012
CA-520,Merced City & County CoC,,768,91,68,0,159,609,735,68,62,0,130,605,33,23,6,29,4,12,8,3,11,1,364,13,0,13,351,364,13,0,13,351,0,0,0,0,84,10,1,0,11,73,2014
CA-520,Merced City & County CoC,,372,86,31,0,117,255,345,69,21,0,90,255,27,17,10,27,0,11,7,4,11,0,181,59,0,59,122,181,59,0,59,122,0,0,0,0,26,,,,6,20,2013
CA-520,Merced City & County CoC,,502,89,75,0,164,338,479,83,58,0,141,338,23,6,17,23,0,7,2,5,7,0,315,109,0,109,206,312,106,0,106,206,3,3,3,0,52,,,,8,44,2012
CA-521,"Davis, Woodland/Yolo County CoC",,442,111,133,0,244,198,317,70,49,0,119,198,125,41,84,125,0,38,13,25,38,0,131,34,0,34,97,126,29,0,29,97,5,5,5,0,31,8,3,0,11,20,2014
CA-521,"Davis, Woodland/Yolo County CoC",,474,107,169,0,276,198,345,74,73,0,147,198,129,33,96,129,0,36,9,27,36,0,134,37,0,37,97,134,37,0,37,97,0,0,0,0,44,,,,24,20,2013
CA-521,"Davis, Woodland/Yolo County CoC",,513,104,146,0,250,263,383,82,55,0,137,246,130,22,91,113,17,42,7,30,37,5,198,31,0,31,167,186,31,0,31,155,12,0,0,12,45,,,,9,36,2012
CA-522,Humboldt County CoC,,932,94,154,0,248,684,593,38,52,0,90,503,339,56,102,158,181,78,17,23,40,38,260,10,0,10,250,132,5,0,5,127,128,5,5,123,123,13,30,0,43,80,2014
CA-522,Humboldt County CoC,,864,55,125,0,180,684,600,27,70,0,97,503,264,28,55,83,181,64,9,17,26,38,276,26,0,26,250,138,11,0,11,127,138,15,15,123,129,,,,49,80,2013
CA-522,Humboldt County CoC,,846,260,132,0,392,454,633,173,59,0,232,401,213,87,73,160,53,70,26,25,51,19,256,103,0,103,153,222,87,0,87,135,34,16,16,18,141,,,,62,79,2012
CA-523,"Colusa, Glenn, Trinity Counties CoC",,567,59,84,0,143,424,410,36,38,0,74,336,157,23,46,69,88,49,9,14,23,26,265,47,0,47,218,223,24,0,24,199,42,23,23,19,49,5,2,0,7,42,2014
CA-523,"Colusa, Glenn, Trinity Counties CoC",,696,183,89,0,272,424,487,103,48,0,151,336,209,80,41,121,88,65,25,14,39,26,303,85,0,85,218,252,53,0,53,199,51,32,32,19,67,,,,25,42,2013
CA-523,"Colusa, Glenn, Trinity Counties CoC",,303,80,84,0,164,139,185,45,33,0,78,107,118,35,51,86,32,38,11,16,27,11,109,41,0,41,68,80,19,0,19,61,29,22,22,7,32,,,,21,11,2012
CA-524,Yuba City & County/Sutter County CoC,,726,347,0,0,347,379,348,138,0,0,138,210,378,209,0,209,169,107,35,0,35,72,53,0,0,0,53,36,0,0,0,36,17,0,0,17,75,67,0,0,67,8,2014
CA-524,Yuba City & County/Sutter County CoC,,1485,344,762,0,1106,379,750,142,398,0,540,210,735,202,364,566,169,319,92,155,247,72,104,51,0,51,53,66,30,0,30,36,38,21,21,17,32,,,,24,8,2013
CA-524,Yuba City & County/Sutter County CoC,,492,133,139,0,272,220,311,61,88,0,149,162,181,72,51,123,58,59,21,18,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,20,3,2012
CA-525,El Dorado County CoC,,195,66,80,0,146,49,181,64,72,0,136,45,14,2,8,10,4,7,1,4,5,2,73,35,0,35,38,71,35,0,35,36,2,0,0,2,3,2,0,0,2,1,2014
CA-525,El Dorado County CoC,,180,27,104,0,131,49,141,21,75,0,96,45,39,6,29,35,4,17,2,13,15,2,55,17,0,17,38,47,11,0,11,36,8,6,6,2,6,,,,5,1,2013
CA-525,El Dorado County CoC,,217,110,70,0,180,37,155,84,40,0,124,31,62,26,30,56,6,26,10,13,23,3,55,48,0,48,7,39,32,0,32,7,16,16,16,0,10,,,,9,1,2012
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",,382,61,81,0,142,240,269,23,21,0,44,225,113,38,60,98,15,34,12,18,30,4,114,4,0,4,110,112,2,0,2,110,2,2,2,0,46,2,16,0,18,28,2014
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",,376,99,37,0,136,240,257,28,4,0,32,225,119,71,33,104,15,34,20,10,30,4,130,20,0,20,110,130,20,0,20,110,0,0,0,0,37,,,,9,28,2013
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",,379,45,65,0,110,269,204,26,17,0,43,161,175,19,48,67,108,53,7,11,18,35,86,6,0,6,80,78,6,0,6,72,8,0,0,8,24,,,,6,18,2012
CA-528,Del Norte County CoC,,437,16,0,0,16,421,305,0,0,0,0,305,132,16,0,16,116,38,8,0,8,30,384,0,0,0,384,126,0,0,0,126,258,0,0,258,10,,,,0,10,2012
CA-600,Los Angeles City & County CoC,,34393,6214,5568,21,11803,22590,28164,4317,3307,21,7645,20519,6229,1897,2261,4158,2071,1580,425,471,896,684,8882,1350,21,1371,7511,7947,1274,21,1295,6652,935,76,76,859,3739,315,867,0,1182,2557,2014
CA-600,Los Angeles City & County CoC,,35524,6468,6445,21,12934,22590,28846,4215,4091,21,8327,20519,6678,2253,2354,4607,2071,2223,734,805,1539,684,8702,1187,4,1191,7511,7475,819,4,823,6652,1227,368,368,859,4007,,,,1450,2557,2013
CA-600,Los Angeles City & County CoC,,31553,7173,6618,22,13813,17740,24609,4589,4222,22,8833,15776,6944,2584,2396,4980,1964,2245,862,831,1693,552,7930,1351,22,1373,6557,6604,1271,22,1293,5311,1326,80,80,1246,4521,,,,1483,3038,2012
CA-601,San Diego City and County CoC,,8506,1179,3291,51,4521,3985,6499,836,1936,51,2823,3676,2007,343,1355,1698,309,639,103,444,547,92,1245,211,27,238,1007,1156,190,27,217,939,89,21,21,68,1307,213,572,5,790,517,2014
CA-601,San Diego City and County CoC,,8879,947,3311,47,4305,4574,7013,679,1891,47,2617,4396,1866,268,1420,1688,178,597,88,460,548,49,2531,206,28,234,2297,2472,196,28,224,2248,59,10,10,49,1486,,,,798,688,2013
CA-601,San Diego City and County CoC,,10013,1040,3279,52,4371,5642,7755,793,1914,52,2759,4996,2258,247,1365,1612,646,810,82,444,526,284,2691,205,26,231,2460,2541,186,26,212,2329,150,19,19,131,1753,,,,831,922,2012
CA-602,"Santa Ana, Anaheim/Orange County CoC",,3833,851,1304,0,2155,1678,2561,547,339,0,886,1675,1272,304,965,1269,3,410,94,315,409,1,814,141,0,141,673,798,130,0,130,668,16,11,11,5,398,43,86,0,129,269,2014
CA-602,"Santa Ana, Anaheim/Orange County CoC",,4251,1145,1428,0,2573,1678,2712,631,406,0,1037,1675,1539,514,1022,1536,3,523,169,353,522,1,829,156,0,156,673,797,129,0,129,668,32,27,27,5,446,,,,177,269,2013
CA-602,"Santa Ana, Anaheim/Orange County CoC",,7010,1154,1584,0,2738,4272,5257,543,464,0,1007,4250,1753,611,1120,1731,22,540,200,333,533,7,1690,101,0,101,1589,1686,101,0,101,1585,4,0,0,4,869,,,,109,760,2012
CA-603,Santa Maria/Santa Barbara County CoC,,1832,576,278,0,854,978,1443,444,131,0,575,868,389,132,147,279,110,120,40,46,86,34,618,84,0,84,534,520,84,0,84,436,98,0,0,98,134,40,18,0,58,76,2014
CA-603,Santa Maria/Santa Barbara County CoC,,1882,471,433,0,904,978,1464,335,261,0,596,868,418,136,172,308,110,122,35,53,88,34,913,379,0,379,534,693,257,0,257,436,220,122,122,98,124,,,,48,76,2013
CA-603,Santa Maria/Santa Barbara County CoC,,1546,499,179,0,678,868,1318,397,96,0,493,825,228,102,83,185,43,78,35,29,64,14,650,264,0,264,386,628,258,0,258,370,22,6,6,16,173,,,,85,88,2012
CA-604,Bakersfield/Kern County CoC,,992,382,195,0,577,415,725,210,140,0,350,375,267,172,55,227,40,81,52,15,67,14,178,31,0,31,147,168,29,0,29,139,10,2,2,8,87,15,51,0,66,21,2014
CA-604,Bakersfield/Kern County CoC,,1152,378,169,0,547,605,924,245,128,0,373,551,228,133,41,174,54,73,41,12,53,20,286,41,0,41,245,261,36,0,36,225,25,5,5,20,135,,,,70,65,2013
CA-604,Bakersfield/Kern County CoC,,1352,368,151,0,519,833,1146,252,105,0,357,789,206,116,46,162,44,73,40,16,56,17,445,52,0,52,393,379,47,0,47,332,66,5,5,61,172,,,,78,94,2012
CA-606,Long Beach CoC,,2738,396,445,18,859,1879,2260,326,294,18,638,1622,478,70,151,221,257,154,21,52,73,81,1070,93,18,111,959,984,89,18,107,877,86,4,4,82,439,36,239,0,275,164,2014
CA-606,Long Beach CoC,,2847,389,555,24,968,1879,2322,290,386,24,700,1622,525,99,169,268,257,169,34,54,88,81,1112,129,24,153,959,1026,125,24,149,877,86,4,4,82,527,,,,363,164,2013
CA-606,Long Beach CoC,,3170,420,528,19,967,2203,2609,325,329,19,673,1936,561,95,199,294,267,177,29,62,91,86,1123,120,19,139,984,1090,109,19,128,962,33,11,11,22,629,,,,320,309,2012
CA-607,Pasadena CoC,,666,138,127,0,265,401,512,65,60,0,125,387,154,73,67,140,14,50,24,22,46,4,221,72,0,72,149,192,43,0,43,149,29,29,29,0,41,3,0,0,3,38,2014
CA-607,Pasadena CoC,,772,267,112,0,379,393,503,148,61,0,209,294,269,119,51,170,99,93,45,16,61,32,217,12,0,12,205,205,0,0,0,205,12,12,12,0,61,,,,16,45,2013
CA-607,Pasadena CoC,,904,354,113,0,467,437,779,285,63,0,348,431,125,69,50,119,6,50,27,20,47,3,260,41,0,41,219,230,14,0,14,216,30,27,27,3,52,,,,5,47,2012
CA-608,Riverside City & County CoC,,2945,575,482,0,1057,1888,2390,425,221,0,646,1744,555,150,261,411,144,174,47,82,129,45,1093,23,0,23,1070,1010,15,0,15,995,83,8,8,75,296,34,81,0,115,181,2014
CA-608,Riverside City & County CoC,,2978,550,540,0,1090,1888,2374,406,224,0,630,1744,604,144,316,460,144,180,43,92,135,45,1117,47,0,47,1070,1025,30,0,30,995,92,17,17,75,285,,,,104,181,2013
CA-608,Riverside City & County CoC,,6096,479,527,0,1006,5090,5605,342,204,0,546,5059,491,137,323,460,31,153,40,103,143,10,2643,192,0,192,2451,2581,136,0,136,2445,62,56,56,6,912,,,,98,814,2012
CA-609,San Bernardino City & County CoC,,2315,454,614,0,1068,1247,1531,158,256,0,414,1117,784,296,358,654,130,191,73,82,155,36,551,69,0,69,482,490,57,0,57,433,61,12,12,49,167,14,21,0,35,132,2014
CA-609,San Bernardino City & County CoC,,2321,518,556,0,1074,1247,1401,198,86,0,284,1117,920,320,470,790,130,192,62,94,156,36,596,114,0,114,482,513,80,0,80,433,83,34,34,49,184,,,,52,132,2013
CA-609,San Bernardino City & County CoC,,2532,382,458,0,840,1692,1781,240,175,0,415,1366,751,142,283,425,326,194,35,70,105,89,210,30,0,30,180,148,26,0,26,122,62,4,4,58,224,,,,58,166,2012
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",,1428,240,268,10,518,910,1086,207,139,10,356,730,342,33,129,162,180,107,6,40,46,61,440,16,3,19,421,407,16,3,19,388,33,0,0,33,102,6,7,1,14,88,2014
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",,1674,334,256,10,600,1074,1294,278,86,10,374,920,380,56,170,226,154,114,20,47,67,47,797,56,6,62,735,710,50,6,56,654,87,6,6,81,140,,,,22,118,2013
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",,1926,350,323,10,683,1243,1627,295,118,10,423,1204,299,55,205,260,39,89,18,60,78,11,496,75,9,84,412,490,69,9,78,412,6,6,6,0,134,,,,26,108,2012
CA-612,Glendale CoC,,292,107,78,0,185,107,204,101,0,0,101,103,88,6,78,84,4,31,2,28,30,1,79,33,0,33,46,79,33,0,33,46,0,0,0,0,19,6,1,0,7,12,2014
CA-612,Glendale CoC,,318,124,87,0,211,107,200,97,0,0,97,103,118,27,87,114,4,39,9,29,38,1,108,62,0,62,46,89,43,0,43,46,19,19,19,0,23,,,,11,12,2013
CA-612,Glendale CoC,,299,94,85,0,179,120,165,45,0,0,45,120,134,49,85,134,0,45,16,29,45,0,116,28,0,28,88,107,19,0,19,88,9,9,9,0,14,,,,4,10,2012
CA-613,Imperial County CoC,,298,104,60,0,164,134,181,58,0,0,58,123,117,46,60,106,11,36,12,21,33,3,127,40,0,40,87,111,24,0,24,87,16,16,16,0,7,0,0,0,0,7,2014
CA-613,Imperial County CoC,,252,89,59,0,148,104,161,63,0,0,63,98,91,26,59,85,6,30,8,20,28,2,138,52,0,52,86,93,33,0,33,60,45,19,19,26,7,,,,4,3,2013
CA-613,Imperial County CoC,,239,93,43,0,136,103,158,55,0,0,55,103,81,38,43,81,0,26,12,14,26,0,179,21,0,21,158,95,16,0,16,79,84,5,5,79,6,,,,0,6,2012
CA-614,San Luis Obispo County CoC,,2366,172,72,0,244,2122,1912,99,36,0,135,1777,454,73,36,109,345,207,27,11,38,169,748,78,0,78,670,655,63,0,63,592,93,15,15,78,253,9,8,0,17,236,2014
CA-614,San Luis Obispo County CoC,,2357,169,66,0,235,2122,1919,104,38,0,142,1777,438,65,28,93,345,199,21,9,30,169,707,37,0,37,670,629,37,0,37,592,78,0,0,78,260,,,,24,236,2013
CA-614,San Luis Obispo County CoC,,2129,156,72,0,228,1901,1752,100,38,0,138,1614,377,56,34,90,287,134,16,10,26,108,502,14,0,14,488,313,12,0,12,301,189,2,2,187,225,,,,14,211,2012
CO-500,Colorado Balance of State CoC,,2188,674,509,0,1183,1005,1256,406,133,0,539,717,932,268,376,644,288,274,83,108,191,83,493,79,0,79,414,390,73,0,73,317,103,6,6,97,179,60,26,0,86,93,2014
CO-500,Colorado Balance of State CoC,,2267,729,533,0,1262,1005,1275,463,95,0,558,717,992,266,438,704,288,313,100,130,230,83,579,165,0,165,414,457,140,0,140,317,122,25,25,97,177,,,,84,93,2013
CO-500,Colorado Balance of State CoC,,9283,631,384,0,1015,8268,1615,237,58,0,295,1320,7668,394,326,720,6948,1918,99,82,181,1737,729,31,0,31,698,729,31,0,31,698,0,0,0,0,572,,,,77,495,2012
CO-503,Metropolitan Denver CoC,,6621,2885,3042,23,5950,671,3495,2084,828,23,2935,560,3126,801,2214,3015,111,932,243,644,887,45,801,507,0,507,294,630,413,0,413,217,171,94,94,77,429,207,136,0,343,86,2014
CO-503,Metropolitan Denver CoC,,6316,2819,2546,23,5388,928,2609,1507,422,23,1952,657,3707,1312,2124,3436,271,1013,307,633,940,73,889,496,23,519,370,595,347,23,370,225,294,149,149,145,358,,,,267,91,2013
CO-503,Metropolitan Denver CoC,,6358,2441,2928,25,5394,964,2677,1349,640,25,2014,663,3681,1092,2288,3380,301,1081,315,683,998,83,957,630,25,655,302,631,342,25,367,264,326,288,288,38,710,,,,601,109,2012
CO-504,Colorado Springs/El Paso County CoC,,1219,443,507,0,950,269,822,359,202,0,561,261,397,84,305,389,8,111,26,83,109,2,327,161,0,161,166,315,149,0,149,166,12,12,12,0,145,70,29,0,99,46,2014
CO-504,Colorado Springs/El Paso County CoC,,1171,477,464,0,941,230,780,365,200,0,565,215,391,112,264,376,15,118,33,81,114,4,312,162,0,162,150,302,155,0,155,147,10,7,7,3,150,,,,101,49,2013
CO-504,Colorado Springs/El Paso County CoC,,1127,430,421,0,851,276,809,306,232,0,538,271,318,124,189,313,5,105,43,60,103,2,257,98,0,98,159,252,95,0,95,157,5,3,3,2,230,,,,122,108,2012
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",,1083,519,253,0,772,311,721,347,100,0,447,274,362,172,153,325,37,129,59,55,114,15,367,252,0,252,115,246,159,0,159,87,121,93,93,28,70,12,41,0,53,17,2014
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",,1059,498,250,0,748,311,725,329,122,0,451,274,334,169,128,297,37,116,55,46,101,15,252,137,0,137,115,169,82,0,82,87,83,55,55,28,84,,,,67,17,2013
