Location,Year,Total,SafeHaven_Housing,Percentage
"Pasadena CoC",2012,904,0,0.00
"Riverside City & County CoC",2014,2945,0,0.00
"Riverside City & County CoC",2013,2978,0,0.00
"Riverside City & County CoC",2012,6096,0,0.00
"San Bernardino City & County CoC",2014,2315,0,0.00
"San Bernardino City & County CoC",2013,2321,0,0.00
"San Bernardino City & County CoC",2012,2532,0,0.00
"Glendale CoC",2014,292,0,0.00
"Glendale CoC",2013,318,0,0.00
"Glendale CoC",2012,299,0,0.00
"Imperial County CoC",2014,298,0,0.00
"Imperial County CoC",2013,252,0,0.00
"Imperial County CoC",2012,239,0,0.00
"San Luis Obispo County CoC",2014,2366,0,0.00
"San Luis Obispo County CoC",2013,2357,0,0.00
"San Luis Obispo County CoC",2012,2129,0,0.00
"Colorado Balance of State CoC",2014,2188,0,0.00
"Colorado Balance of State CoC",2013,2267,0,0.00
"Colorado Balance of State CoC",2012,9283,0,0.00
"Colorado Springs/El Paso County CoC",2014,1219,0,0.00
"Colorado Springs/El Paso County CoC",2013,1171,0,0.00
"Colorado Springs/El Paso County CoC",2012,1127,0,0.00
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2014,1083,0,0.00
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2013,1059,0,0.00
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2012,902,0,0.00
"Connecticut Balance of State CoC",2014,3367,0,0.00
"Connecticut Balance of State CoC",2013,3389,0,0.00
"Connecticut Balance of State CoC",2012,3307,0,0.00
"District of Columbia CoC",2014,7748,0,0.00
"District of Columbia CoC",2013,6865,0,0.00
"District of Columbia CoC",2012,6954,0,0.00
"Delaware Statewide CoC",2014,901,0,0.00
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2014,1377,0,0.00
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2013,1049,0,0.00
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2012,921,0,0.00
"Lakeland, Winterhaven/Polk County CoC",2014,536,0,0.00
"Lakeland, Winterhaven/Polk County CoC",2013,520,0,0.00
"Lakeland, Winterhaven/Polk County CoC",2012,881,0,0.00
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2014,1633,0,0.00
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2013,2176,0,0.00
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2012,2384,0,0.00
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2014,1577,0,0.00
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2012,2438,0,0.00
"Tallahassee/Leon County CoC",2014,805,0,0.00
"Tallahassee/Leon County CoC",2013,974,0,0.00
"Tallahassee/Leon County CoC",2012,797,0,0.00
"Orlando/Orange, Osceola, Seminole Counties CoC",2014,2254,0,0.00
"Gainesville/Alachua, Putnam Counties CoC",2014,1256,0,0.00
"Gainesville/Alachua, Putnam Counties CoC",2013,1718,0,0.00
"Gainesville/Alachua, Putnam Counties CoC",2012,1814,0,0.00
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2014,2591,0,0.00
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2013,2240,0,0.00
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2012,1724,0,0.00
"Jacksonville-Duval, Clay Counties CoC",2014,2049,0,0.00
"Jacksonville-Duval, Clay Counties CoC",2013,2768,0,0.00
"Jacksonville-Duval, Clay Counties CoC",2012,2861,0,0.00
"Pensacola/Escambia, Santa Rosa Counties CoC",2014,843,0,0.00
"Pensacola/Escambia, Santa Rosa Counties CoC",2013,945,0,0.00
"Pensacola/Escambia, Santa Rosa Counties CoC",2012,792,0,0.00
"St. Johns County CoC",2014,1401,0,0.00
"St. Johns County CoC",2013,1437,0,0.00
"St. Johns County CoC",2012,1385,0,0.00
"Palm Bay, Melbourne/Brevard County CoC",2014,1477,0,0.00
"Palm Bay, Melbourne/Brevard County CoC",2013,1567,0,0.00
"Palm Bay, Melbourne/Brevard County CoC",2012,2062,0,0.00
"Ocala/Marion County CoC",2014,918,0,0.00
"Ocala/Marion County CoC",2013,530,0,0.00
"Ocala/Marion County CoC",2012,911,0,0.00
"Panama City/Bay, Jackson Counties CoC",2014,268,0,0.00
"Panama City/Bay, Jackson Counties CoC",2013,301,0,0.00
"Panama City/Bay, Jackson Counties CoC",2012,322,0,0.00
"Hendry, Hardee, Highlands Counties CoC",2014,1346,0,0.00
"Hendry, Hardee, Highlands Counties CoC",2013,3847,0,0.00
"Hendry, Hardee, Highlands Counties CoC",2012,1319,0,0.00
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2014,1070,0,0.00
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2013,1278,0,0.00
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2012,1180,0,0.00
"Pasco County CoC",2014,3356,0,0.00
"Pasco County CoC",2013,3305,0,0.00
"Pasco County CoC",2012,4351,0,0.00
"Citrus, Hernando, Lake, Sumter Counties CoC",2014,511,0,0.00
"Citrus, Hernando, Lake, Sumter Counties CoC",2013,709,0,0.00
"Citrus, Hernando, Lake, Sumter Counties CoC",2012,1788,0,0.00
"Ft Myers, Cape Coral/Lee County CoC",2014,871,0,0.00
"Ft Myers, Cape Coral/Lee County CoC",2013,848,0,0.00
"Ft Myers, Cape Coral/Lee County CoC",2012,781,0,0.00
"Monroe County CoC",2014,678,0,0.00
"Monroe County CoC",2013,652,0,0.00
"Monroe County CoC",2012,922,0,0.00
"Naples/Collier County CoC",2014,361,0,0.00
"Naples/Collier County CoC",2013,396,0,0.00
"Naples/Collier County CoC",2012,455,0,0.00
"Atlanta CoC",2014,4797,0,0.00
"Atlanta CoC",2013,5536,0,0.00
"Georgia Balance of State CoC",2014,7577,0,0.00
"Georgia Balance of State CoC",2013,7651,0,0.00
"Georgia Balance of State CoC",2012,11105,0,0.00
"Fulton County CoC",2014,477,0,0.00
"Fulton County CoC",2013,428,0,0.00
"Athens-Clarke County CoC",2014,247,0,0.00
"Athens-Clarke County CoC",2013,213,0,0.00
"Athens-Clarke County CoC",2012,361,0,0.00
"Augusta-Richmond County CoC",2014,472,0,0.00
"Augusta-Richmond County CoC",2013,476,0,0.00
"Augusta-Richmond County CoC",2012,396,0,0.00
"Columbus-Muscogee/Russell County CoC",2014,312,0,0.00
"Columbus-Muscogee/Russell County CoC",2013,294,0,0.00
"Columbus-Muscogee/Russell County CoC",2012,333,0,0.00
"Marietta/Cobb County CoC",2014,523,0,0.00
"Marietta/Cobb County CoC",2013,495,0,0.00
"Marietta/Cobb County CoC",2012,392,0,0.00
"Savannah/Chatham County CoC",2014,1315,0,0.00
"Savannah/Chatham County CoC",2013,1165,0,0.00
"Savannah/Chatham County CoC",2012,1118,0,0.00
"DeKalb County CoC",2014,801,0,0.00
"DeKalb County CoC",2013,713,0,0.00
"Guam CoC",2014,1356,0,0.00
"Guam CoC",2013,1271,0,0.00
"Guam CoC",2012,1301,0,0.00
"Hawaii Balance of State CoC",2014,2206,0,0.00
"Hawaii Balance of State CoC",2013,1779,0,0.00
"Hawaii Balance of State CoC",2012,1893,0,0.00
"Sioux City/Dakota, Woodbury Counties CoC",2014,297,0,0.00
"Sioux City/Dakota, Woodbury Counties CoC",2013,236,0,0.00
"Sioux City/Dakota, Woodbury Counties CoC",2012,250,0,0.00
"Iowa Balance of State CoC",2014,1939,0,0.00
"Iowa Balance of State CoC",2013,1920,0,0.00
"Iowa Balance of State CoC",2012,1860,0,0.00
"Des Moines/Polk County CoC",2014,886,0,0.00
"Des Moines/Polk County CoC",2013,928,0,0.00
"Des Moines/Polk County CoC",2012,818,0,0.00
"Boise/Ada County CoC",2014,753,0,0.00
"Boise/Ada County CoC",2013,694,0,0.00
"Boise/Ada County CoC",2012,754,0,0.00
"Idaho Balance of State CoC",2014,1351,0,0.00
"Idaho Balance of State CoC",2013,1087,0,0.00
"Idaho Balance of State CoC",2012,1214,0,0.00
"McHenry County CoC",2014,166,0,0.00
"McHenry County CoC",2013,185,0,0.00
"McHenry County CoC",2012,196,0,0.00
"Rockford/Winnebago, Boone Counties CoC",2014,410,0,0.00
"Rockford/Winnebago, Boone Counties CoC",2013,788,0,0.00
"Rockford/Winnebago, Boone Counties CoC",2012,727,0,0.00
"Champaign, Urbana, Rantoul/Champaign County CoC",2014,205,0,0.00
"Champaign, Urbana, Rantoul/Champaign County CoC",2013,214,0,0.00
"Champaign, Urbana, Rantoul/Champaign County CoC",2012,209,0,0.00
"Madison County CoC",2014,240,0,0.00
"Madison County CoC",2013,201,0,0.00
"Madison County CoC",2012,196,0,0.00
"Joliet, Bolingbrook/Will County CoC",2014,309,0,0.00
"Joliet, Bolingbrook/Will County CoC",2013,288,0,0.00
"Joliet, Bolingbrook/Will County CoC",2012,291,0,0.00
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2014,405,0,0.00
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2013,396,0,0.00
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2012,376,0,0.00
"East St. Louis, Belleville/St. Clair County CoC",2014,339,0,0.00
"East St. Louis, Belleville/St. Clair County CoC",2013,213,0,0.00
"East St. Louis, Belleville/St. Clair County CoC",2012,451,0,0.00
"Dekalb City & County CoC",2014,96,0,0.00
"Dekalb City & County CoC",2013,107,0,0.00
"Dekalb City & County CoC",2012,125,0,0.00
"Springfield/Sangamon County CoC",2014,269,0,0.00
"Springfield/Sangamon County CoC",2013,280,0,0.00
"Springfield/Sangamon County CoC",2012,251,0,0.00
"DuPage County CoC",2014,654,0,0.00
"DuPage County CoC",2013,665,0,0.00
"DuPage County CoC",2012,641,0,0.00
"South Central Illinois CoC",2014,118,0,0.00
"South Central Illinois CoC",2013,149,0,0.00
"South Central Illinois CoC",2012,124,0,0.00
"Decatur/Macon County CoC",2014,256,0,0.00
"Decatur/Macon County CoC",2013,247,0,0.00
"Aurora, Elgin/Kane County CoC",2014,405,0,0.00
"Aurora, Elgin/Kane County CoC",2013,451,0,0.00
"Aurora, Elgin/Kane County CoC",2012,431,0,0.00
"Rock Island, Moline/Northwestern Illinois CoC",2012,263,0,0.00
"West Central Illinois CoC",2014,145,0,0.00
"West Central Illinois CoC",2013,133,0,0.00
"West Central Illinois CoC",2012,172,0,0.00
"Southern Illinois CoC",2014,325,0,0.00
"Southern Illinois CoC",2013,338,0,0.00
"Southern Illinois CoC",2012,411,0,0.00
"Indiana Balance of State CoC",2014,4081,0,0.00
"Indiana Balance of State CoC",2013,4497,0,0.00
"Indiana Balance of State CoC",2012,4612,0,0.00
"Topeka/Shawnee County CoC",2014,416,0,0.00
"Topeka/Shawnee County CoC",2013,439,0,0.00
"Topeka/Shawnee County CoC",2012,577,0,0.00
"Overland Park, Shawnee/Johnson County CoC",2014,167,0,0.00
"Overland Park, Shawnee/Johnson County CoC",2013,213,0,0.00
"Overland Park, Shawnee/Johnson County CoC",2012,288,0,0.00
"Kansas Balance of State CoC",2014,1307,0,0.00
"Kansas Balance of State CoC",2013,1141,0,0.00
"Kansas Balance of State CoC",2012,1043,0,0.00
"Kentucky Balance of State CoC",2014,2229,0,0.00
"Kentucky Balance of State CoC",2013,2392,0,0.00
"Kentucky Balance of State CoC",2012,2328,0,0.00
"Lexington-Fayette County CoC",2014,1544,0,0.00
"Lexington-Fayette County CoC",2013,1408,0,0.00
"Lexington-Fayette County CoC",2012,1370,0,0.00
"Lafayette/Acadiana CoC",2014,471,0,0.00
"Lafayette/Acadiana CoC",2013,542,0,0.00
"Lafayette/Acadiana CoC",2012,518,0,0.00
"Slidell/Southeast Louisiana CoC",2014,262,0,0.00
"Slidell/Southeast Louisiana CoC",2013,276,0,0.00
"Slidell/Southeast Louisiana CoC",2012,276,0,0.00
"Alexandria/Central Louisiana CoC",2014,141,0,0.00
"Alexandria/Central Louisiana CoC",2013,118,0,0.00
"Alexandria/Central Louisiana CoC",2012,188,0,0.00
"Louisiana Balance of State CoC",2014,876,0,0.00
"Lynn CoC",2014,382,0,0.00
"Lynn CoC",2013,468,0,0.00
"Lynn CoC",2012,414,0,0.00
"Cape Cod Islands CoC",2014,381,0,0.00
"Cape Cod Islands CoC",2013,514,0,0.00
"Cape Cod Islands CoC",2012,364,0,0.00
"New Bedford CoC",2014,349,0,0.00
"New Bedford CoC",2013,337,0,0.00
"New Bedford CoC",2012,374,0,0.00
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2014,753,0,0.00
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2013,678,0,0.00
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2012,717,0,0.00
"Lowell CoC",2014,588,0,0.00
"Lowell CoC",2013,559,0,0.00
"Lowell CoC",2012,534,0,0.00
"Cambridge CoC",2014,551,0,0.00
"Cambridge CoC",2013,535,0,0.00
"Cambridge CoC",2012,485,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2014,1643,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2013,1690,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2012,1424,0,0.00
"Fall River CoC",2014,354,0,0.00
"Fall River CoC",2013,235,0,0.00
"Fall River CoC",2012,307,0,0.00
"Somerville CoC",2014,154,0,0.00
"Somerville CoC",2013,169,0,0.00
"Somerville CoC",2012,145,0,0.00
"Attleboro, Taunton/Bristol County CoC",2014,222,0,0.00
"Attleboro, Taunton/Bristol County CoC",2013,251,0,0.00
"Attleboro, Taunton/Bristol County CoC",2012,249,0,0.00
"Cumberland/Allegany County CoC",2014,120,0,0.00
"Cumberland/Allegany County CoC",2013,76,0,0.00
"Cumberland/Allegany County CoC",2012,110,0,0.00
"Harford County CoC",2014,223,0,0.00
"Harford County CoC",2013,166,0,0.00
"Harford County CoC",2012,189,0,0.00
"Annapolis/Anne Arundel County CoC",2014,384,0,0.00
"Annapolis/Anne Arundel County CoC",2013,400,0,0.00
"Annapolis/Anne Arundel County CoC",2012,373,0,0.00
"Howard County CoC",2014,170,0,0.00
"Howard County CoC",2013,194,0,0.00
